Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Australia,AUS,1965,0.925,0,0,0,21.360432,0,0.029475,202.02777,200.01936,0.925,0,0,0,21.360432,0,0.029475,202.02777,200.01936
Australia,AUS,1966,0.88750005,0,0,0,20.402895,0,0.039300002,209.38889,214.04755,0.88750005,0,0,0,20.402895,0,0.039300002,209.38889,214.04755
Australia,AUS,1967,0.90625,0,0,0,21.127186,0,0.039300002,215.25,234.38777,0.90625,0,0,0,21.127186,0,0.039300002,215.25,234.38777
Australia,AUS,1968,0.88125,0,0,0,22.084723,0,0.30457503,221.69444,255.28499,0.88125,0,0,0,22.084723,0,0.30457503,221.69444,255.28499
Australia,AUS,1969,0.87812495,0,0,0,24.122559,0,4.1265,229.27777,262.44812,0.87812495,0,0,0,24.122559,0,4.1265,229.27777,262.44812
Australia,AUS,1970,0.815625,0,0,0,28.251907,0,17.303974,231.69444,290.1954,0.815625,0,0,0,28.251907,0,17.303974,231.69444,290.1954
Australia,AUS,1971,0.82187504,0,0,0,31.965117,0,25.82668,232.56944,305.54456,0.82187504,0,0,0,31.965117,0,25.82668,232.56944,305.54456
Australia,AUS,1972,0.875,0,0,0,32.092537,0,37.074265,242.93056,311.03336,0.875,0,0,0,32.092537,0,37.074265,242.93056,311.03336
Australia,AUS,1973,1.05625,0,0,0,34.12733,0,47.068798,252.9861,331.89297,1.05625,0,0,0,34.12733,0,47.068798,252.9861,331.89297
Australia,AUS,1974,1.3406249,0,0,0,38.538666,0,53.70199,264.06943,351.73517,1.3406249,0,0,0,38.538666,0,53.70199,264.06943,351.73517
Australia,AUS,1975,1.5281249,0,0,0,41.355003,0,57.669968,272.54166,348.1045,1.5281249,0,0,0,41.355003,0,57.669968,272.54166,348.1045
Australia,AUS,1976,1.5125,0,0,0,39.316273,0,68.07722,281.79166,355.82147,1.5125,0,0,0,39.316273,0,68.07722,281.79166,355.82147
Australia,AUS,1977,1.3406249,0,0,0,37.62208,0,77.76844,294.18054,372.60077,1.3406249,0,0,0,37.62208,0,77.76844,294.18054,372.60077
