Entity,Code,Year,Primary energy consumption (TWh),time
Afghanistan,,,41.059685,2023
Albania,,,22.58345,2023
Algeria,DZA,2024,760.1326,2024
Angola,,,98.50231,2023
Antarctica,,,0.057045743,2023
Antigua and Barbuda,,,3.0114286,2023
Argentina,ARG,2024,983.1046,2024
Armenia,,,47.176323,2023
Australia,AUS,2024,1672.1141,2024
Austria,AUT,2024,412.3366,2024
Azerbaijan,AZE,2024,208.15166,2024
Bahamas,,,12.22259,2023
Bahrain,,,258.8903,2023
Bangladesh,BGD,2024,529.0725,2024
Barbados,,,5.6508656,2023
Belarus,BLR,2024,313.65662,2024
Belgium,BEL,2024,644.11615,2024
Belize,,,3.7050722,2023
Benin,,,26.763376,2023
Bhutan,,,14.768754,2023
Bolivia,,,105.283195,2023
Bosnia and Herzegovina,,,85.15606,2023
Botswana,,,23.582682,2023
Brazil,BRA,2024,3919.054,2024
Brunei,,,54.25442,2023
Bulgaria,BGR,2024,191.79422,2024
Burkina Faso,,,23.49235,2023
Burundi,,,3.7939117,2023
Cambodia,,,79.9876,2023
Cameroon,,,35.51803,2023
Canada,CAN,2024,3886.195,2024
Cape Verde,,,3.061471,2023
Central African Republic,,,1.4405651,2023
Chad,,,8.502181,2023
Chile,CHL,2024,518.7317,2024
China,CHN,2024,48987.1,2024
Colombia,COL,2024,615.8878,2024
Comoros,,,1.7791466,2023
Congo,,,13.319717,2023
Costa Rica,,,45.97338,2023
Cote d'Ivoire,,,77.54045,2023
Croatia,HRV,2024,103.14367,2024
Cuba,,,84.19563,2023
Cyprus,CYP,2024,33.34757,2024
Czechia,CZE,2024,392.82257,2024
Democratic Republic of Congo,,,40.462,2023
Denmark,DNK,2024,196.25333,2024
Djibouti,,,3.5236096,2023
Dominica,,,0.70941734,2023
Dominican Republic,,,130.60753,2023
East Timor,,,2.7689097,2023
Ecuador,ECU,2024,230.72105,2024
Egypt,EGY,2024,1125.8602,2024
El Salvador,,,45.158405,2023
Equatorial Guinea,,,29.514402,2023
Eritrea,,,3.028064,2023
Estonia,EST,2024,55.763836,2024
Eswatini,,,6.7881174,2023
Ethiopia,,,89.2298,2023
Fiji,,,6.872495,2023
Finland,FIN,2024,334.59375,2024
France,FRA,2024,2519.9006,2024
French Guiana,,,0,2023
Gabon,,,16.094625,2023
Gambia,,,2.1590724,2023
Georgia,,,62.573837,2023
Germany,DEU,2024,3195.4414,2024
Ghana,,,103.90361,2023
Greece,GRC,2024,321.18677,2024
Greenland,,,2.62862,2023
Grenada,,,1.4309671,2023
Guatemala,,,90.80983,2023
Guinea,,,22.103296,2023
Guinea-Bissau,,,1.4838905,2023
Guyana,,,11.151187,2023
Haiti,,,11.890234,2023
Honduras,,,51.91649,2023
Hungary,HUN,2024,260.79166,2024
Iceland,ISL,2024,62.81733,2024
India,IND,2024,11336.057,2024
Indonesia,IDN,2024,2984.7312,2024
Iran,IRN,2024,3589.786,2024
Iraq,IRQ,2024,736.78076,2024
Ireland,IRL,2024,181.79192,2024
Israel,ISR,2024,277.77414,2024
Italy,ITA,2024,1696.2874,2024
Jamaica,,,35.033688,2023
Japan,JPN,2024,4794.8164,2024
Jordan,,,110.326996,2023
Kazakhstan,KAZ,2024,862.1121,2024
Kenya,,,88.98033,2023
Kiribati,,,0.33318454,2023
Kosovo,,,26.810604,2023
Kuwait,KWT,2024,525.0247,2024
Kyrgyzstan,,,57.17433,2023
Laos,,,77.41758,2023
Latvia,LVA,2024,38.789654,2024
Lebanon,,,72.93483,2023
Lesotho,,,5.498565,2023
Liberia,,,2.9330628,2023
Libya,,,215.9141,2023
Lithuania,LTU,2024,73.36593,2024
Luxembourg,LUX,2024,39.741703,2024
Madagascar,,,16.602537,2023
Malawi,,,11.083061,2023
Malaysia,MYS,2024,1381.9797,2024
Maldives,,,7.844283,2023
Mali,,,30.001326,2023
Malta,,,37.89784,2023
Mauritania,,,20.805344,2023
Mauritius,,,22.465187,2023
Mexico,MEX,2024,2310.191,2024
Micronesia (country),,,0.49880695,2023
Moldova,,,36.509583,2023
Mongolia,,,67.52183,2023
Montenegro,,,11.773082,2023
Morocco,MAR,2024,276.34924,2024
Mozambique,,,57.067364,2023
Myanmar,,,133.01285,2023
Namibia,,,18.87373,2023
Nauru,,,0.34798107,2023
Nepal,,,57.468346,2023
Netherlands,NLD,2024,926.46484,2024
New Caledonia,,,18.503777,2023
New Zealand,NZL,2024,233.12447,2024
Nicaragua,,,21.31868,2023
Niger,,,13.586347,2023
Nigeria,,,533.8474,2023
North Korea,,,184.50406,2023
North Macedonia,MKD,2024,29.569088,2024
Norway,NOR,2024,555.6263,2024
Oman,OMN,2024,446.87463,2024
Pakistan,PAK,2024,888.3728,2024
Palestine,,,23.76429,2023
Panama,,,101.93849,2023
Papua New Guinea,,,26.7377,2023
Paraguay,,,51.616325,2023
Peru,PER,2024,374.39307,2024
Philippines,PHL,2024,652.5626,2024
Poland,POL,2024,1125.5693,2024
Portugal,PRT,2024,270.24222,2024
Puerto Rico,,,81.98438,2023
Qatar,QAT,2024,653.9499,2024
Romania,ROU,2024,355.47122,2024
Russia,RUS,2024,9049.149,2024
Rwanda,,,7.3929653,2023
Saint Kitts and Nevis,,,1.1161973,2023
Saint Lucia,,,2.4969735,2023
Saint Vincent and the Grenadines,,,1.1062169,2023
Samoa,,,1.4906863,2023
Sao Tome and Principe,,,0.60052395,2023
Saudi Arabia,SAU,2024,3290.4238,2024
Senegal,,,43.98776,2023
Serbia,,,178.35318,2023
Seychelles,,,3.7066548,2023
Sierra Leone,,,5.7063303,2023
Singapore,SGP,2024,1053.9208,2024
Slovakia,SVK,2024,181.077,2024
Slovenia,SVN,2024,79.15576,2024
Solomon Islands,,,1.3258178,2023
Somalia,,,3.4903147,2023
South Africa,ZAF,2024,1362.4921,2024
South Korea,KOR,2024,3616.2183,2024
South Sudan,,,7.040589,2023
Spain,ESP,2024,1624.2463,2024
Sri Lanka,LKA,2024,111.340576,2024
Sudan,,,90.12593,2023
Suriname,,,11.223551,2023
Sweden,SWE,2024,610.00366,2024
Switzerland,CHE,2024,339.26566,2024
Syria,,,93.83012,2023
Taiwan,TWN,2024,1253.8473,2024
Tajikistan,,,49.302364,2023
Tanzania,,,79.88015,2023
Thailand,THA,2024,1420.8193,2024
Togo,,,12.373307,2023
Tonga,,,0.71339273,2023
Trinidad and Tobago,TTO,2024,159.80704,2024
Tunisia,,,120.689224,2023
Turkey,TUR,2024,2093.0579,2024
Turkmenistan,TKM,2024,371.16443,2024
Tuvalu,,,0,2023
Uganda,,,32.116592,2023
Ukraine,UKR,2024,601.0536,2024
United Arab Emirates,ARE,2024,1522.0366,2024
United Kingdom,GBR,2024,1936.9596,2024
United States,USA,2024,26528.611,2024
Uruguay,,,45.432484,2023
Uzbekistan,UZB,2024,695.57574,2024
Vanuatu,,,1.2145803,2023
Venezuela,VEN,2024,698.5456,2024
Vietnam,VNM,2024,1476.2521,2024
Western Sahara,,,1.1712292,2023
Yemen,,,34.487343,2023
Zambia,,,50.19883,2023
Zimbabwe,,,51.986076,2023
